place_id,name,category,floor_id,logical_x,logical_y,visual_x,visual_y,approach_pixel_x,approach_pixel_y,raw_dqn_x,raw_dqn_y,dqn_x,dqn_y,snap_cells,walkable,is_store,calibration_rule
桃園機場捷運,桃園機場捷運,出口,k-floor-grid,2.0,4.0,15.0,40.0,15.0,62.0,3,15,4,15,1,True,False,original_corridor
K12 樓梯,K12 樓梯,設施,k-floor-grid,2.0,4.0,15.0,35.0,15.0,62.0,3,15,4,15,1,True,False,original_corridor
東森購物,東森購物,生活,k-floor-grid,3.0,4.0,35.0,76.0,35.0,62.0,7,18,7,17,1,True,True,lower_storefront_visual_snap
西廣場,西廣場,廣場,k-floor-grid,5.0,4.0,53.0,53.0,53.0,62.0,11,15,11,15,0,True,False,original_corridor
大創,大創,生活,k-floor-grid,7.0,4.0,88.0,76.0,88.0,62.0,18,18,18,17,1,True,True,lower_storefront_visual_snap
Hobby OFF,Hobby OFF,休閒,k-floor-grid,8.0,4.0,95.0,48.0,95.0,62.0,19,15,19,16,1,True,True,original_corridor
和氣屋,和氣屋,生活,k-floor-grid,10.0,4.0,115.0,76.0,115.0,62.0,23,18,23,17,1,True,True,lower_storefront_visual_snap
寶可夢旗艦店,寶可夢旗艦店,休閒,k-floor-grid,12.0,4.0,144.0,76.0,144.0,62.0,29,18,29,17,1,True,True,lower_storefront_visual_snap
三國幻戰,三國幻戰,休閒,k-floor-grid,13.0,4.0,148.0,48.0,148.0,62.0,30,15,30,16,1,True,True,original_corridor
于田生活,于田生活,生活,k-floor-grid,15.0,4.0,165.0,76.0,165.0,62.0,33,18,33,17,1,True,True,lower_storefront_visual_snap
眼鏡市場,眼鏡市場,生活,k-floor-grid,15.0,4.0,165.0,48.0,165.0,62.0,33,15,33,16,1,True,True,original_corridor
服務站,服務站,設施,k-floor-grid,18.0,4.0,180.0,55.0,180.0,62.0,36,15,36,15,0,True,False,original_corridor
全家,全家,生活,k-floor-grid,20.0,4.0,215.0,98.0,215.0,62.0,43,23,42,23,1,True,True,lower_storefront_visual_snap
711,711,生活,k-floor-grid,21.0,4.0,216.0,76.0,216.0,62.0,43,18,43,17,1,True,True,lower_storefront_visual_snap
先喝道,先喝道,餐飲,k-floor-grid,24.0,4.0,250.0,76.0,250.0,62.0,50,18,50,17,1,True,True,lower_storefront_visual_snap
pp石墨烯,pp石墨烯,生活,k-floor-grid,25.0,4.0,260.0,76.0,261.0,62.0,52,18,52,17,1,True,True,lower_storefront_visual_snap
中央廣場,中央廣場,廣場,k-floor-grid,26.0,4.0,270.0,60.0,270.0,62.0,54,15,54,15,0,True,False,original_corridor
老董牛肉麵,老董牛肉麵,餐飲,k-floor-grid,26.0,4.0,270.0,76.0,270.0,62.0,54,18,54,17,1,True,True,lower_storefront_visual_snap
sukiya,sukiya,餐飲,k-floor-grid,28.0,4.0,295.0,76.0,295.0,62.0,59,18,59,17,1,True,True,lower_storefront_visual_snap
爭鮮,爭鮮,餐飲,k-floor-grid,29.0,4.0,310.0,76.0,305.0,62.0,62,18,62,17,1,True,True,lower_storefront_visual_snap
翰林茶棧,翰林茶棧,餐飲,k-floor-grid,29.0,4.0,303.0,60.0,305.0,62.0,61,15,61,16,1,True,True,original_corridor
